timestamp bid bidsize ask asksize
1516576068889315.0 1225660 1000000 1225730 1000000
1516576070327972.0 1225660 1000000 1225710 1000000
1516576070328009.0 1225620 500000 1225710 1000000
1516576070499962.0 1225660 1000000 1225730 1000000
1516576070499997.0 1225620 500000 1225740 1000000
1516576070501857.0 1225620 500000 1225760 1000000
1516576070833296.0 1225620 500000 1225740 1000000
1516576072065352.0 1225650 1000000 1225730 1000000
1516576072065453.0 1225620 1000000 1225740 1000000
1516576072065790.0 1225650 1000000 1225740 1000000
1516576072065885.0 1225650 1000000 1225720 1000000
1516576072067124.0 1225620 1000000 1225730 1000000
1516576072070084.0 1225610 1000000 1225730 1000000
1516576072070904.0 1225640 1000000 1225720 1000000
1516576072072492.0 1225630 1000000 1225720 1000000
1516576072158569.0 1225610 1000000 1225720 1000000
1516576072526330.0 1225620 1000000 1225720 1000000
1516576072527837.0 1225620 1000000 1225710 1000000
1516576072527864.0 1225610 1000000 1225710 1000000
1516576072538452.0 1225670 1000000 1225710 1000000
1516576073242582.0 1225590 1000000 1225710 1000000
1516576073375369.0 1225630 1000000 1225710 1000000
1516576074275680.0 1225630 1000000 1225700 1000000
1516576074276742.0 1225590 1000000 1225700 1000000
1516576074277838.0 1225620 1000000 1225700 1000000
1516576074288093.0 1225610 1000000 1225700 1000000
1516576074314721.0 1225590 1000000 1225720 1000000
1516576074487477.0 1225590 1000000 1225710 1000000
1516576074549888.0 1225570 500000 1225710 1000000
1516576075374061.0 1225610 1000000 1225690 1000000
1516576075374078.0 1225570 500000 1225690 1000000
1516576075525811.0 1225610 1000000 1225700 1000000
1516576075525827.0 1225570 500000 1225710 1000000
1516576075557282.0 1225570 1000000 1225710 1000000
1516576075557322.0 1225580 500000 1225710 1000000
1516576076034254.0 1225570 1000000 1225710 1000000
1516576076035406.0 1225570 1000000 1225700 1000000
1516576076079749.0 1225580 500000 1225700 1000000
1516576076080052.0 1225580 500000 1225720 1000000
1516576076165992.0 1225580 500000 1225710 1000000
1516576076250337.0 1225570 1000000 1225710 1000000
1516576077873353.0 1225610 1000000 1225680 1000000
1516576077873978.0 1225570 1000000 1225710 500000
1516576077874449.0 1225600 1000000 1225680 1000000
1516576077874986.0 1225600 1000000 1225670 1000000
1516576077874989.0 1225570 1000000 1225670 1000000
1516576077878749.0 1225630 1000000 1225670 1000000
1516576077879072.0 1225560 1000000 1225670 1000000
1516576077883748.0 1225590 1000000 1225670 1000000
1516576077890430.0 1225650 1000000 1225670 1000000
1516576077901147.0 1225640 1000000 1225670 1000000
1516576077901544.0 1225640 1000000 1225680 1000000
1516576077901564.0 1225560 1000000 1225700 1000000
1516576077945410.0 1225650 1000000 1225680 1000000
1516576077964067.0 1225660 500000 1225680 1000000
1516576077964069.0 1225660 500000 1225700 1000000
1516576077964081.0 1225680 1000000 1225680 1000000
1516576077965934.0 1225670 500000 1225700 1000000
1516576077965949.0 1225670 500000 1225710 1000000
1516576077968209.0 1225670 500000 1225720 1000000
1516576077971692.0 1225660 500000 1225720 1000000
1516576077971694.0 1225620 1000000 1225720 1000000
1516576077971944.0 1225680 1000000 1225720 1000000
1516576077972473.0 1225680 1000000 1225700 1000000
1516576077973410.0 1225680 1000000 1225710 1000000
1516576077974179.0 1225680 1000000 1225720 1000000
1516576077980007.0 1225610 1000000 1225720 1000000
1516576077983231.0 1225630 500000 1225720 1000000
1516576077983231.0 1225630 500000 1225720 1000000
1516576077985165.0 1225640 1000000 1225720 1000000
1516576078012244.0 1225630 500000 1225720 1000000
1516576078022748.0 1225620 1000000 1225720 1000000
1516576078022765.0 1225610 1000000 1225720 1000000
1516576078046187.0 1225620 1000000 1225710 1000000
1516576078046204.0 1225610 1000000 1225710 1000000
1516576078899976.0 1225630 1000000 1225710 1000000
1516576079135385.0 1225630 1000000 1225700 1000000
1516576079263101.0 1225670 1000000 1225700 1000000
1516576079390355.0 1225610 1000000 1225740 500000
1516576079390466.0 1225610 1000000 1225740 1000000
1516576079390990.0 1225670 1000000 1225690 1000000
1516576079391175.0 1225660 1000000 1225690 1000000
1516576079393341.0 1225610 1000000 1225730 1000000
1516576079425532.0 1225610 1000000 1225710 1000000
1516576079426304.0 1225660 1000000 1225700 1000000
1516576080464076.0 1225660 1000000 1225690 1000000
1516576080464100.0 1225610 1000000 1225690 1000000
1516576080608360.0 1225670 1000000 1225690 1000000
1516576080608437.0 1225660 500000 1225690 1000000
1516576080609799.0 1225670 1000000 1225700 1000000
1516576080610735.0 1225670 1000000 1225720 1000000
1516576080615009.0 1225660 500000 1225700 1000000
1516576080616121.0 1225660 500000 1225720 1000000
1516576080641430.0 1225610 1000000 1225720 1000000
1516576080650170.0 1225620 1000000 1225720 1000000
1516576080740777.0 1225670 1000000 1225710 1000000
1516576080740805.0 1225620 1000000 1225710 1000000
1516576080770375.0 1225680 1000000 1225710 1000000
1516576081658089.0 1225610 1000000 1225710 1000000
1516576082104420.0 1225670 1000000 1225710 1000000
1516576082104955.0 1225670 1000000 1225700 1000000
1516576082105096.0 1225610 1000000 1225700 1000000
1516576083632225.0 1225620 500000 1225700 1000000
1516576083633381.0 1225670 1000000 1225720 1000000
1516576083633382.0 1225620 500000 1225740 1000000
1516576083633939.0 1225670 1000000 1225710 1000000
1516576083634428.0 1225670 1000000 1225720 1000000
1516576083634449.0 1225670 1000000 1225710 1000000
1516576083634519.0 1225620 500000 1225750 1000000
1516576083634666.0 1225660 1000000 1225710 1000000
1516576083674323.0 1225620 500000 1225740 1000000
1516576083688300.0 1225660 1000000 1225700 1000000
1516576083688305.0 1225620 500000 1225720 500000
1516576083688592.0 1225620 500000 1225700 1000000
1516576083697248.0 1225610 1000000 1225700 1000000
1516576083702346.0 1225650 1000000 1225700 1000000
1516576083765359.0 1225660 1000000 1225700 1000000
1516576083938688.0 1225660 1000000 1225690 1000000
1516576083938710.0 1225610 1000000 1225690 1000000
1516576084259281.0 1225630 500000 1225690 1000000
1516576084261316.0 1225650 1000000 1225690 1000000
1516576084265249.0 1225630 500000 1225740 1000000
1516576084265249.0 1225650 1000000 1225720 1000000
1516576084284919.0 1225630 500000 1225720 1000000
1516576084284943.0 1225630 1000000 1225720 1000000
1516576084284950.0 1225610 1000000 1225740 1000000
1516576084285560.0 1225630 1000000 1225710 1000000
1516576084287164.0 1225610 1000000 1225740 500000
1516576084287728.0 1225630 1000000 1225700 1000000
1516576084296019.0 1225610 1000000 1225700 1000000
1516576084402008.0 1225660 1000000 1225700 1000000
1516576085935167.0 1225620 500000 1225700 1000000
1516576086217683.0 1225650 1000000 1225700 1000000
1516576086217843.0 1225610 1000000 1225700 1000000
1516576086218514.0 1225640 1000000 1225700 1000000
1516576086218699.0 1225670 1000000 1225700 1000000
1516576086221780.0 1225670 1000000 1225690 1000000
1516576086221811.0 1225610 1000000 1225690 1000000
1516576086223546.0 1225660 1000000 1225690 1000000
1516576086329985.0 1225660 1000000 1225670 1000000
1516576086330011.0 1225610 1000000 1225670 1000000
1516576086330688.0 1225660 1000000 1225690 1000000
1516576086330707.0 1225610 1000000 1225690 1000000
1516576086330930.0 1225650 1000000 1225690 1000000
1516576088390352.0 1225620 1000000 1225690 1000000
1516576089875863.0 1225620 1000000 1225680 1000000
1516576089875901.0 1225610 1000000 1225680 1000000
1516576090575946.0 1225620 1000000 1225660 1000000
1516576090575969.0 1225610 1000000 1225660 1000000
1516576090640761.0 1225620 1000000 1225680 1000000
1516576090640814.0 1225610 1000000 1225680 1000000
1516576094726340.0 1225620 1000000 1225660 1000000
1516576094726384.0 1225610 1000000 1225660 1000000
1516576094734903.0 1225630 1000000 1225660 1000000
1516576094899972.0 1225630 1000000 1225680 1000000
1516576094899996.0 1225610 1000000 1225680 1000000
1516576096601517.0 1225630 1000000 1225660 1000000
1516576096601549.0 1225610 1000000 1225660 1000000
1516576096602225.0 1225630 1000000 1225680 1000000
1516576096602245.0 1225610 1000000 1225680 1000000
1516576098281878.0 1225630 1000000 1225670 1000000
1516576098281918.0 1225610 1000000 1225670 1000000
1516576099506854.0 1225630 1000000 1225680 1000000
1516576099506886.0 1225610 1000000 1225680 1000000
1516576103555477.0 1225620 1000000 1225680 1000000
1516576103693195.0 1225620 1000000 1225670 1000000
1516576103693232.0 1225610 1000000 1225670 1000000
1516576103729036.0 1225620 1000000 1225690 1000000
1516576103729067.0 1225610 1000000 1225690 1000000
1516576103955117.0 1225580 1000000 1225690 1000000
1516576103955479.0 1225620 1000000 1225680 1000000
1516576103955503.0 1225580 1000000 1225680 1000000
1516576104782849.0 1225620 1000000 1225660 1000000
1516576104782875.0 1225580 1000000 1225660 1000000
1516576104783780.0 1225620 1000000 1225680 1000000
1516576104783781.0 1225580 1000000 1225680 1000000
1516576104897234.0 1225610 1000000 1225680 1000000
1516576109337740.0 1225580 1000000 1225680 1000000
1516576109411906.0 1225620 1000000 1225680 2000000
1516576110232050.0 1225620 1000000 1225670 1000000
1516576110586151.0 1225610 1000000 1225680 1000000
1516576111485389.0 1225620 1000000 1225680 1000000
1516576114818885.0 1225620 1000000 1225670 1000000
1516576114818926.0 1225610 1000000 1225670 1000000
1516576114833141.0 1225620 1000000 1225690 1000000
1516576114833169.0 1225610 1000000 1225690 1000000
1516576114891371.0 1225580 1000000 1225690 1000000
1516576114901376.0 1225570 1000000 1225690 1000000
1516576114992450.0 1225620 1000000 1225680 1000000
1516576114992469.0 1225570 1000000 1225680 1000000
1516576115407674.0 1225610 1000000 1225680 1000000
1516576115415360.0 1225620 1000000 1225680 1000000
1516576115425574.0 1225620 1000000 1225670 1000000
1516576115425720.0 1225610 1000000 1225670 1000000
1516576115475379.0 1225620 1000000 1225670 1000000
1516576115893671.0 1225620 1000000 1225680 1000000
1516576115893793.0 1225620 1000000 1225660 1000000
1516576116660139.0 1225560 1000000 1225680 1000000
1516576117587544.0 1225560 1000000 1225660 1000000
